# Hershey stroke text trail
# font_name=timesi, font_size=14
# char_spacing=1.0, word_spacing=3.0, line_spacing=15.0
68.0000 78.5000 -33
68.5000 79.5000 -33
69.5000 80.5000 -33
71.0000 80.5000 -33
71.5000 80.0000 -33
71.5000 78.5000 -33
70.5000 75.5000 -33
70.5000 74.5000 -33
71.5000 73.5000 -33
71.5000 73.5000 33
70.5000 80.5000 33
70.5000 80.5000 -33
71.0000 80.0000 -33
71.0000 78.5000 -33
70.0000 75.5000 -33
70.0000 74.5000 -33
70.5000 74.0000 -33
71.5000 73.5000 -33
72.5000 73.5000 -33
73.5000 74.0000 -33
74.5000 75.0000 -33
75.5000 77.0000 -33
76.5000 80.5000 -33
76.5000 80.5000 33
75.5000 77.0000 33
75.5000 77.0000 -33
75.0000 75.0000 -33
75.0000 74.0000 -33
75.5000 73.5000 -33
77.0000 73.5000 -33
78.0000 74.5000 -33
78.5000 75.5000 -33
78.5000 75.5000 33
77.0000 80.5000 33
77.0000 80.5000 -33
76.0000 77.0000 -33
75.5000 75.0000 -33
75.5000 74.0000 -33
76.0000 73.5000 -33
76.0000 73.5000 33
80.0000 74.5000 33
80.0000 74.5000 -33
79.5000 74.0000 -33
80.0000 73.5000 -33
80.5000 74.0000 -33
80.0000 74.5000 -33
80.0000 74.5000 33
